Source	Target	Color	weight	Label
2483	3299	23	0.4750539397605527	24833299
2458	3585	8	0.04126927966764821	24583585
1927	3469	16	0.0768999527341195	19273469
1559	3170	27	0.012112663816010909	15593170
250	2495	29	0.026873663496045492	2502495
2323	3857	16	0.05256070572322987	23233857
1150	1723	13	0.05557763547362094	11501723
466	894	3	0.30344286320238023	466894
1109	1366	17	0.025819625902749558	11091366
986	2444	20	0.028238945153104825	9862444
2190	2800	8	0.012157975873746762	21902800
2660	3330	35	0.10107936931536689	26603330
518	1608	7	0.8925233225890905	5181608
90	3332	17	0.11645739163191514	903332
3111	3585	36	0.07564231899914388	31113585
3089	3372	21	0.13017969619335654	30893372
1261	2250	36	0.07653250083348413	12612250
3166	3739	10	0.13782760933271587	31663739
3088	3634	35	0.6221774792411264	30883634
1076	1792	4	0.0955371747585971	10761792
565	3781	1	0.02708621016703458	5653781
2237	3187	32	0.08295629649720482	22373187
656	3639	24	0.025131204469428035	6563639
222	2800	37	0.12312023219607562	2222800
2323	2755	8	0.07413044110873046	23232755
1958	2237	36	0.03186616328266547	19582237
2081	3903	30	0.1381038497281603	20813903
445	2189	30	0.15248350179221626	4452189
893	1259	38	0.05336135217681742	8931259
656	1450	34	0.15541763728066885	6561450
1664	2584	3	0.2518499051571413	16642584
1043	3857	6	0.05330080160042438	10433857
95	228	23	0.06200101266579977	95228
599	606	16	0.321429043759739	599606
69	3780	14	0.12613430891584987	693780
2660	3312	30	0.09907539023710822	26603312
586	1907	12	0.08630553126596549	5861907
567	654	3	0.7714601415774233	567654
1262	3057	36	0.08415444976752044	12623057
1930	2483	25	0.9106541798706829	19302483
565	2679	3	0.09777966280157421	5652679
1280	2086	6	0.013312108321970129	12802086
1043	2755	1	0.07517425574333751	10432755
78	1890	14	0.11010525315542008	781890
1294	2800	36	0.05827799347205917	12942800
2001	2931	2	0.10031623441030801	20012931
2526	3618	35	0.0298826699488886	25263618
1631	3075	0	0.06165328997745471	16313075
2179	2795	33	0.05827385935446435	21792795
1604	2800	25	0.08453938158755071	16042800
455	3287	5	0.027544756231736904	4553287
656	2516	5	0.09405860294831879	6562516
